fecha,anño,mes,dia_semana,tienda,lambda,clientes
2023-02-28,2023,2,1,Los Cedros,8500,8476
2023-02-28,2023,2,1,Palermo,6500,6386
2023-02-28,2023,2,1,Córdoba,8500,8594
2023-03-01,2023,3,2,Santa Ana,11500,11385
2023-03-01,2023,3,2,La Floresta,8500,8670
2023-03-01,2023,3,2,Los Cedros,9500,9520
2023-03-01,2023,3,2,Palermo,7500,7572
2023-03-01,2023,3,2,Córdoba,9500,9450
2023-03-02,2023,3,3,Santa Ana,11000,11002
2023-03-02,2023,3,3,La Floresta,8000,7875
2023-03-02,2023,3,3,Los Cedros,9000,8940
2023-03-02,2023,3,3,Palermo,7000,6903
2023-03-02,2023,3,3,Córdoba,9000,9009
2023-03-03,2023,3,4,Santa Ana,10000,9952
2023-03-03,2023,3,4,La Floresta,7000,6956
2023-03-03,2023,3,4,Los Cedros,8000,7933
2023-03-03,2023,3,4,Palermo,6000,6062
2023-03-03,2023,3,4,Córdoba,8000,7993
2023-03-04,2023,3,5,Santa Ana,9000,8958
2023-03-04,2023,3,5,La Floresta,6000,5897
2023-03-04,2023,3,5,Los Cedros,7000,7167
2023-03-04,2023,3,5,Palermo,5000,4865
2023-03-04,2023,3,5,Córdoba,7000,7018
2023-03-05,2023,3,6,Santa Ana,9000,8883
2023-03-05,2023,3,6,La Floresta,6000,5927
2023-03-05,2023,3,6,Los Cedros,7000,6907
2023-03-05,2023,3,6,Palermo,5000,5034
2023-03-05,2023,3,6,Córdoba,7000,6966
2023-03-06,2023,3,0,Santa Ana,10000,9969
2023-03-06,2023,3,0,La Floresta,7000,6986
2023-03-06,2023,3,0,Los Cedros,8000,7991
2023-03-06,2023,3,0,Palermo,6000,6058
2023-03-06,2023,3,0,Córdoba,8000,7926
2023-03-07,2023,3,1,Santa Ana,11000,10965
2023-03-07,2023,3,1,La Floresta,8000,8141
2023-03-07,2023,3,1,Los Cedros,9000,8869
2023-03-07,2023,3,1,Palermo,7000,7031
2023-03-07,2023,3,1,Córdoba,9000,8882
2023-03-08,2023,3,2,Santa Ana,11500,11537
2023-03-08,2023,3,2,La Floresta,8500,8635
2023-03-08,2023,3,2,Los Cedros,9500,9386
2023-03-08,2023,3,2,Palermo,7500,7434
2023-03-08,2023,3,2,Córdoba,9500,9578
2023-03-09,2023,3,3,Santa Ana,11000,10952
2023-03-09,2023,3,3,La Floresta,8000,7872
2023-03-09,2023,3,3,Los Cedros,9000,8876
2023-03-09,2023,3,3,Palermo,7000,7078
2023-03-09,2023,3,3,Córdoba,9000,8921
2023-03-10,2023,3,4,Santa Ana,10000,10066
2023-03-10,2023,3,4,La Floresta,7000,7048
2023-03-10,2023,3,4,Los Cedros,8000,7933
2023-03-10,2023,3,4,Palermo,6000,5920
2023-03-10,2023,3,4,Córdoba,8000,8021
2023-03-11,2023,3,5,Santa Ana,9000,8990
2023-03-11,2023,3,5,La Floresta,6000,5910
2023-03-11,2023,3,5,Los Cedros,7000,7001
2023-03-11,2023,3,5,Palermo,5000,5134
2023-03-11,2023,3,5,Córdoba,7000,7049
2023-03-12,2023,3,6,Santa Ana,9000,9058
2023-03-12,2023,3,6,La Floresta,6000,6017
2023-03-12,2023,3,6,Los Cedros,7000,6982
2023-03-12,2023,3,6,Palermo,5000,5136
2023-03-12,2023,3,6,Córdoba,7000,6988
2023-03-13,2023,3,0,Santa Ana,10000,9867
2023-03-13,2023,3,0,La Floresta,7000,7108
2023-03-13,2023,3,0,Los Cedros,8000,8023
2023-03-13,2023,3,0,Palermo,6000,5834
2023-03-13,2023,3,0,Córdoba,8000,8086
2023-03-14,2023,3,1,Santa Ana,11000,10949
2023-03-14,2023,3,1,La Floresta,8000,8009
2023-03-14,2023,3,1,Los Cedros,9000,8958
2023-03-14,2023,3,1,Palermo,7000,7060
2023-03-14,2023,3,1,Córdoba,9000,8919
2023-03-15,2023,3,2,Santa Ana,11500,11368
2023-03-15,2023,3,2,La Floresta,8500,8500
2023-03-15,2023,3,2,Los Cedros,9500,9662
2023-03-15,2023,3,2,Palermo,7500,7520
2023-03-15,2023,3,2,Córdoba,9500,9384
2023-03-16,2023,3,3,Santa Ana,11000,11001
2023-03-16,2023,3,3,La Floresta,8000,7829
2023-03-16,2023,3,3,Los Cedros,9000,8914
2023-03-16,2023,3,3,Palermo,7000,6922
2023-03-16,2023,3,3,Córdoba,9000,9017
2023-03-17,2023,3,4,Santa Ana,10000,10085
2023-03-17,2023,3,4,La Floresta,7000,7006
2023-03-17,2023,3,4,Los Cedros,8000,7975
2023-03-17,2023,3,4,Palermo,6000,5911
2023-03-17,2023,3,4,Córdoba,8000,8111
2023-03-18,2023,3,5,Santa Ana,9000,8965
2023-03-18,2023,3,5,La Floresta,6000,6032
2023-03-18,2023,3,5,Los Cedros,7000,7054
2023-03-18,2023,3,5,Palermo,5000,4941
2023-03-18,2023,3,5,Córdoba,7000,7079
2023-03-19,2023,3,6,Santa Ana,9000,9042
2023-03-19,2023,3,6,La Floresta,6000,5882
2023-03-19,2023,3,6,Los Cedros,7000,7056
2023-03-19,2023,3,6,Palermo,5000,5076
2023-03-19,2023,3,6,Córdoba,7000,7041
2023-03-20,2023,3,0,Santa Ana,10000,9939
2023-03-20,2023,3,0,La Floresta,7000,6923
2023-03-20,2023,3,0,Los Cedros,8000,7908
2023-03-20,2023,3,0,Palermo,6000,5983
2023-03-20,2023,3,0,Córdoba,8000,8091
2023-03-21,2023,3,1,Santa Ana,11000,10924
2023-03-21,2023,3,1,La Floresta,8000,8023
2023-03-21,2023,3,1,Los Cedros,9000,9034
2023-03-21,2023,3,1,Palermo,7000,7012
2023-03-21,2023,3,1,Córdoba,9000,8942
2023-03-22,2023,3,2,Santa Ana,11500,11587
2023-03-22,2023,3,2,La Floresta,8500,8618
2023-03-22,2023,3,2,Los Cedros,9500,9643
2023-03-22,2023,3,2,Palermo,7500,7482
2023-03-22,2023,3,2,Córdoba,9500,9432
2023-03-23,2023,3,3,Santa Ana,11000,11040
2023-03-23,2023,3,3,La Floresta,8000,7889
2023-03-23,2023,3,3,Los Cedros,9000,8898
2023-03-23,2023,3,3,Palermo,7000,6885
2023-03-23,2023,3,3,Córdoba,9000,8936
2023-03-24,2023,3,4,Santa Ana,10000,10044
2023-03-24,2023,3,4,La Floresta,7000,6923
2023-03-24,2023,3,4,Los Cedros,8000,7888
2023-03-24,2023,3,4,Palermo,6000,6102
2023-03-24,2023,3,4,Córdoba,8000,8026
2023-03-25,2023,3,5,Santa Ana,9000,8900
2023-03-25,2023,3,5,La Floresta,6000,5982
2023-03-25,2023,3,5,Los Cedros,7000,7004
2023-03-25,2023,3,5,Palermo,5000,4922
2023-03-25,2023,3,5,Córdoba,7000,6859
2023-03-26,2023,3,6,Santa Ana,9000,8926
2023-03-26,2023,3,6,La Floresta,6000,5951
2023-03-26,2023,3,6,Los Cedros,7000,7055
2023-03-26,2023,3,6,Palermo,5000,5013
2023-03-26,2023,3,6,Córdoba,7000,7040
2023-03-27,2023,3,0,Santa Ana,10000,10070
2023-03-27,2023,3,0,La Floresta,7000,7023
2023-03-27,2023,3,0,Los Cedros,8000,7999
2023-03-27,2023,3,0,Palermo,6000,5963
2023-03-27,2023,3,0,Córdoba,8000,7869
2023-03-28,2023,3,1,Santa Ana,11000,11072
2023-03-28,2023,3,1,La Floresta,8000,8049
2023-03-28,2023,3,1,Los Cedros,9000,8927
2023-03-28,2023,3,1,Palermo,7000,7079
2023-03-28,2023,3,1,Córdoba,9000,8935
2023-03-29,2023,3,2,Santa Ana,11500,11457
2023-03-29,2023,3,2,La Floresta,8500,8656
2023-03-29,2023,3,2,Los Cedros,9500,9722
2023-03-29,2023,3,2,Palermo,7500,7412
2023-03-29,2023,3,2,Córdoba,9500,9628
2023-03-30,2023,3,3,Santa Ana,11000,11102
2023-03-30,2023,3,3,La Floresta,8000,8051
2023-03-30,2023,3,3,Los Cedros,9000,8928
2023-03-30,2023,3,3,Palermo,7000,7177
2023-03-30,2023,3,3,Córdoba,9000,9058
2023-03-31,2023,3,4,Santa Ana,10000,9897
2023-03-31,2023,3,4,La Floresta,7000,7140
2023-03-31,2023,3,4,Los Cedros,8000,8052
2023-03-31,2023,3,4,Palermo,6000,6138
2023-03-31,2023,3,4,Córdoba,8000,8190
2023-04-01,2023,4,5,Santa Ana,9000,9118
2023-04-01,2023,4,5,La Floresta,6000,5959
2023-04-01,2023,4,5,Los Cedros,7000,6930
2023-04-01,2023,4,5,Palermo,5000,4875
2023-04-01,2023,4,5,Córdoba,7000,6961
2023-04-02,2023,4,6,Santa Ana,9000,8816
2023-04-02,2023,4,6,La Floresta,6000,6009
2023-04-02,2023,4,6,Los Cedros,7000,6955
2023-04-02,2023,4,6,Palermo,5000,5099
2023-04-02,2023,4,6,Córdoba,7000,6931
2023-04-03,2023,4,0,Santa Ana,10000,10130
2023-04-03,2023,4,0,La Floresta,7000,7111
2023-04-03,2023,4,0,Los Cedros,8000,8180
2023-04-03,2023,4,0,Palermo,6000,6064
2023-04-03,2023,4,0,Córdoba,8000,7995
2023-04-04,2023,4,1,Santa Ana,11000,11087
2023-04-04,2023,4,1,La Floresta,8000,7980
2023-04-04,2023,4,1,Los Cedros,9000,8924
2023-04-04,2023,4,1,Palermo,7000,6965
2023-04-04,2023,4,1,Córdoba,9000,8943
2023-04-05,2023,4,2,Santa Ana,11500,11229
2023-04-05,2023,4,2,La Floresta,8500,8469
2023-04-05,2023,4,2,Los Cedros,9500,9587
2023-04-05,2023,4,2,Palermo,7500,7480
2023-04-05,2023,4,2,Córdoba,9500,9708
2023-04-06,2023,4,3,Santa Ana,11000,11034
2023-04-06,2023,4,3,La Floresta,8000,8187
2023-04-06,2023,4,3,Los Cedros,9000,9029
2023-04-06,2023,4,3,Palermo,7000,6930
2023-04-06,2023,4,3,Córdoba,9000,8918
2023-04-07,2023,4,4,Santa Ana,10000,10087
2023-04-07,2023,4,4,La Floresta,7000,7116
2023-04-07,2023,4,4,Los Cedros,8000,7973
2023-04-07,2023,4,4,Palermo,6000,6045
2023-04-07,2023,4,4,Córdoba,8000,8091
2023-04-08,2023,4,5,Santa Ana,9000,8919
2023-04-08,2023,4,5,La Floresta,6000,6020
2023-04-08,2023,4,5,Los Cedros,7000,6866
2023-04-08,2023,4,5,Palermo,5000,4950
2023-04-08,2023,4,5,Córdoba,7000,7119
2023-04-09,2023,4,6,Santa Ana,9000,9118
2023-04-09,2023,4,6,La Floresta,6000,6035
2023-04-09,2023,4,6,Los Cedros,7000,6863
2023-04-09,2023,4,6,Palermo,5000,4974
2023-04-09,2023,4,6,Córdoba,7000,7056
2023-04-10,2023,4,0,Santa Ana,10000,9829
2023-04-10,2023,4,0,La Floresta,7000,7045
2023-04-10,2023,4,0,Los Cedros,8000,8106
2023-04-10,2023,4,0,Palermo,6000,5996
2023-04-10,2023,4,0,Córdoba,8000,8094
2023-04-11,2023,4,1,Santa Ana,11000,11055
2023-04-11,2023,4,1,La Floresta,8000,7937
2023-04-11,2023,4,1,Los Cedros,9000,9089
2023-04-11,2023,4,1,Palermo,7000,7099
2023-04-11,2023,4,1,Córdoba,9000,9059
2023-04-12,2023,4,2,Santa Ana,11500,11562
2023-04-12,2023,4,2,La Floresta,8500,8531
2023-04-12,2023,4,2,Los Cedros,9500,9389
2023-04-12,2023,4,2,Palermo,7500,7613
2023-04-12,2023,4,2,Córdoba,9500,9603
2023-04-13,2023,4,3,Santa Ana,11000,10950
2023-04-13,2023,4,3,La Floresta,8000,7899
2023-04-13,2023,4,3,Los Cedros,9000,9103
2023-04-13,2023,4,3,Palermo,7000,7028
2023-04-13,2023,4,3,Córdoba,9000,9036
2023-04-14,2023,4,4,Santa Ana,10000,10039
2023-04-14,2023,4,4,La Floresta,7000,7073
2023-04-14,2023,4,4,Los Cedros,8000,8071
2023-04-14,2023,4,4,Palermo,6000,6212
2023-04-14,2023,4,4,Córdoba,8000,8034
2023-04-15,2023,4,5,Santa Ana,9000,8858
2023-04-15,2023,4,5,La Floresta,6000,6043
2023-04-15,2023,4,5,Los Cedros,7000,6951
2023-04-15,2023,4,5,Palermo,5000,4866
2023-04-15,2023,4,5,Córdoba,7000,6963
2023-04-16,2023,4,6,Santa Ana,9000,9072
2023-04-16,2023,4,6,La Floresta,6000,6061
2023-04-16,2023,4,6,Los Cedros,7000,6997
2023-04-16,2023,4,6,Palermo,5000,5038
2023-04-16,2023,4,6,Córdoba,7000,6982
2023-04-17,2023,4,0,Santa Ana,10000,9889
2023-04-17,2023,4,0,La Floresta,7000,7048
